Kind,Date,EntryTime,Strike,OptionType,Signal,Confidence,EntrySpot,EntryPremium,TargetNifty,SLNifty,EstHoldMin,ExitTime,ExitSpot,ExitPremium,ExitReason,HoldMin,PnLSpotPct,PnLPremiumPct,PnLRupees,RollingSig,DirectionSig,CrossAssetSig
EXIT,2026-05-15,15:18:12,23650,PE,BUY PE,49.2,23629.85,180.00,23579.0,23655.0,9.0,15:28:12,23645.20,160.00,TIMEOUT,10.0,-0.06,-11.11,-1300,BUY PE,BUY PE,BUY PE
OPEN,2026-05-15,15:29:12,23650,PE,BUY PE,47.7,23648.80,160.00,23598.0,23674.0,0.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-15,15:29:12,23650,PE,BUY PE,47.7,23648.80,160.00,23598.0,23674.0,0.0,15:29:12,23648.80,160.00,TIMEOUT,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-15,15:30:12,23650,PE,BUY PE,46.8,23660.45,153.95,23609.0,23686.0,25.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-15,15:30:12,23650,PE,BUY PE,46.8,23660.45,153.95,23609.0,23686.0,25.0,15:30:12,23660.45,153.95,EOD,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,09:00:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,09:00:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,09:10:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,09:11:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,09:11:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,09:20:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,09:21:12,23600,PE,BUY PE,43.6,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,09:21:12,23600,PE,BUY PE,43.6,23643.50,132.55,23591.0,23670.0,9.0,09:30:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,09:31:12,23600,PE,BUY PE,43.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,09:31:12,23600,PE,BUY PE,43.3,23643.50,132.55,23591.0,23670.0,9.0,09:41:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,09:42:12,23600,PE,BUY PE,41.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,09:42:12,23600,PE,BUY PE,41.4,23643.50,132.55,23591.0,23670.0,9.0,09:51:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,09:52:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,NO TRADE
EXIT,2026-05-16,09:52:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,10:01:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,NO TRADE
OPEN,2026-05-16,10:02:12,23600,PE,BUY PE,39.0,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,10:02:12,23600,PE,BUY PE,39.0,23643.50,132.55,23591.0,23670.0,9.0,10:12:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,10:13:12,23600,PE,BUY PE,38.9,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,10:13:12,23600,PE,BUY PE,38.9,23643.50,132.55,23591.0,23670.0,9.0,10:22:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,10:23:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,10:23:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,10:32:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,10:33:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,10:33:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,10:42:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,10:43:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,10:43:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,10:52:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,10:53:12,23600,PE,BUY PE,39.0,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,10:53:12,23600,PE,BUY PE,39.0,23643.50,132.55,23591.0,23670.0,9.0,11:02:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,11:03:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,11:03:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,11:13:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,11:14:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,11:14:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,11:24:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,11:25:12,23600,PE,BUY PE,40.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,11:25:12,23600,PE,BUY PE,40.4,23643.50,132.55,23591.0,23670.0,9.0,11:34:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,11:35:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,11:35:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,11:44:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,11:45:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,11:45:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,11:54:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,11:55:12,23600,PE,BUY PE,40.9,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,11:55:12,23600,PE,BUY PE,40.9,23643.50,132.55,23591.0,23670.0,9.0,12:05:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,12:06:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,12:06:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,12:16:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,12:17:12,23600,PE,BUY PE,41.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,12:17:12,23600,PE,BUY PE,41.2,23643.50,132.55,23591.0,23670.0,9.0,12:27:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,12:28:12,23600,PE,BUY PE,42.0,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,12:28:12,23600,PE,BUY PE,42.0,23643.50,132.55,23591.0,23670.0,9.0,12:38:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,12:39:12,23600,PE,BUY PE,43.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,12:39:12,23600,PE,BUY PE,43.2,23643.50,132.55,23591.0,23670.0,9.0,12:49:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,12:50:12,23600,PE,BUY PE,43.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,12:50:12,23600,PE,BUY PE,43.3,23643.50,132.55,23591.0,23670.0,9.0,13:00:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:01:12,23600,PE,BUY PE,43.5,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:01:12,23600,PE,BUY PE,43.5,23643.50,132.55,23591.0,23670.0,9.0,13:10:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:11:12,23600,PE,BUY PE,44.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:15:12,23650,PE,BUY PE,45.2,23643.50,154.20,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:11:12,23600,PE,BUY PE,44.7,23643.50,132.55,23591.0,23670.0,9.0,13:20:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:23:12,23600,PE,BUY PE,44.9,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:15:12,23650,PE,BUY PE,45.2,23643.50,154.20,23591.0,23670.0,9.0,13:24:12,23643.50,154.20,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:23:12,23600,PE,BUY PE,44.9,23643.50,132.55,23591.0,23670.0,9.0,13:32:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:33:12,23600,PE,BUY PE,44.6,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:33:12,23600,PE,BUY PE,44.6,23643.50,132.55,23591.0,23670.0,9.0,13:42:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:43:12,23600,PE,BUY PE,43.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:43:12,23600,PE,BUY PE,43.7,23643.50,132.55,23591.0,23670.0,9.0,13:53:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,13:54:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,13:54:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,14:03:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,14:04:12,23600,PE,BUY PE,44.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,14:04:12,23600,PE,BUY PE,44.1,23643.50,132.55,23591.0,23670.0,9.0,14:14:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,14:15:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,14:15:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,14:24:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,14:25:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,14:25:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,14:35:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,14:36:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,14:36:12,23600,PE,BUY PE,44.2,23643.50,132.55,23591.0,23670.0,9.0,14:46:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,14:47:12,23600,PE,BUY PE,44.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,14:47:12,23600,PE,BUY PE,44.1,23643.50,132.55,23591.0,23670.0,9.0,14:56:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,14:57:12,23600,PE,BUY PE,44.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,15:00:12,23650,PE,BUY PE,47.0,23643.50,154.20,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,14:57:12,23600,PE,BUY PE,44.1,23643.50,132.55,23591.0,23670.0,9.0,15:07:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,15:00:12,23650,PE,BUY PE,47.0,23643.50,154.20,23591.0,23670.0,9.0,15:10:12,23643.50,154.20,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,15:11:12,23650,PE,BUY PE,47.3,23643.50,154.20,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,15:11:12,23650,PE,BUY PE,47.3,23643.50,154.20,23591.0,23670.0,9.0,15:20:12,23643.50,154.20,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,15:21:12,23650,PE,BUY PE,47.8,23643.50,154.20,23591.0,23670.0,8.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,15:21:12,23650,PE,BUY PE,47.8,23643.50,154.20,23591.0,23670.0,8.0,15:29:12,23643.50,154.20,TIMEOUT,8.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-16,15:30:12,23650,PE,BUY PE,47.8,23643.50,154.20,23591.0,23670.0,25.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-16,15:30:12,23650,PE,BUY PE,47.8,23643.50,154.20,23591.0,23670.0,25.0,15:30:12,23643.50,154.20,EOD,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,09:00:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,09:00:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,09:10:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,09:11:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,09:11:12,23600,PE,BUY PE,44.4,23643.50,132.55,23591.0,23670.0,9.0,09:21:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,09:22:12,23600,PE,BUY PE,43.6,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,09:22:12,23600,PE,BUY PE,43.6,23643.50,132.55,23591.0,23670.0,9.0,09:32:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,09:33:12,23600,PE,BUY PE,43.2,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,09:33:12,23600,PE,BUY PE,43.2,23643.50,132.55,23591.0,23670.0,9.0,09:43:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,09:44:12,23600,PE,BUY PE,41.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,09:44:12,23600,PE,BUY PE,41.3,23643.50,132.55,23591.0,23670.0,9.0,09:53:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,09:54:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,09:54:12,23600,PE,BUY PE,40.5,23643.50,132.55,23591.0,23670.0,9.0,10:04:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,10:05:12,23600,PE,BUY PE,38.9,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,10:05:12,23600,PE,BUY PE,38.9,23643.50,132.55,23591.0,23670.0,9.0,10:14:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,10:15:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,10:15:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,10:25:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,10:26:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,10:26:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,10:36:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,10:37:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,10:37:12,23600,PE,BUY PE,39.1,23643.50,132.55,23591.0,23670.0,9.0,10:47:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,10:48:12,23600,PE,BUY PE,39.0,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,10:48:12,23600,PE,BUY PE,39.0,23643.50,132.55,23591.0,23670.0,9.0,10:58:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,10:59:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,10:59:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,11:08:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,11:09:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,11:09:12,23600,PE,BUY PE,40.7,23643.50,132.55,23591.0,23670.0,9.0,11:19:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,11:20:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,11:20:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,11:29:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,11:30:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,11:30:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,11:40:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,11:41:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,11:41:12,23600,PE,BUY PE,40.3,23643.50,132.55,23591.0,23670.0,9.0,11:50:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,11:51:12,23600,PE,BUY PE,40.8,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,11:51:12,23600,PE,BUY PE,40.8,23643.50,132.55,23591.0,23670.0,9.0,12:00:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,12:01:12,23600,PE,BUY PE,40.8,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,12:01:12,23600,PE,BUY PE,40.8,23643.50,132.55,23591.0,23670.0,9.0,12:11:12,23643.50,132.55,TIMEOUT,10.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,12:12:12,23600,PE,BUY PE,41.1,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,12:12:12,23600,PE,BUY PE,41.1,23643.50,132.55,23591.0,23670.0,9.0,12:21:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,12:22:12,23600,PE,BUY PE,41.4,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,12:22:12,23600,PE,BUY PE,41.4,23643.50,132.55,23591.0,23670.0,9.0,12:31:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,12:32:12,23600,PE,BUY PE,42.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,12:32:12,23600,PE,BUY PE,42.7,23643.50,132.55,23591.0,23670.0,9.0,12:41:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,12:42:12,23600,PE,BUY PE,43.7,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,12:42:12,23600,PE,BUY PE,43.7,23643.50,132.55,23591.0,23670.0,9.0,12:51:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-05-17,12:52:12,23600,PE,BUY PE,43.3,23643.50,132.55,23591.0,23670.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-05-17,12:52:12,23600,PE,BUY PE,43.3,23643.50,132.55,23591.0,23670.0,9.0,13:01:12,23643.50,132.55,TIMEOUT,9.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
